"";"Family";"mean_abund_CO";"mean_abund_MAN";"mean_abund_CHI";"mean_abund_BSF";"mean_abund_HC";"mean_abund_MW";"median_abund_CO";"median_abund_MAN";"median_abund_CHI";"median_abund_BSF";"median_abund_HC";"median_abund_MW";"sd_CO";"sd_MAN";"sd_CHI";"sd_BSF";"sd_HC";"sd_MW"
"1";"Anthocoridae";0,0081799591002045;0,00421940928270042;0,00865800865800866;0,00619834710743802;0,00239808153477218;0,00627615062761506;0;0;0;0;0;0;0,0901646963417044;0,0648882790315453;0,113754387442434;0,0785664118683477;0,0489702106874392;0,0790559013018252
"2";"Aphididae";6,57396046353102;7,13080168776371;5,16017316017316;5,70179063360882;6,63069544364508;7,12412831241283;0;0;0;0;0;0;27,5218965943211;29,7696253210645;21,3505119876798;22,729795601676;27,8608453754722;30,6961779714008
"3";"Braconidae";0,0439672801635992;0,116033755274262;0,0725108225108225;0,0826446280991736;0,140287769784173;0,133891213389121;0;0;0;0;0;0;0,219586955128964;1,21467456756515;0,643444966244049;0,827018185635189;1,27049173819629;0,820459534553012
"4";"Chrysomelidae";0,134969325153374;0,116033755274262;0,12987012987013;0,163223140495868;0,146282973621103;0,171548117154812;0;0;0;0;0;0;0,648282763992621;0,456612546789569;0,61472846801481;0,769643207246928;0,837918578821024;0,911069883193072
"5";"Crambidae";0,458077709611452;0,489451476793249;0,521645021645022;0,518595041322314;0,544364508393285;0,623430962343096;0;0;0;0;0;0;2,01804898529832;1,86683939830885;2,48609301101152;2,38387988837764;1,93985852514648;2,20263686707087
"6";"Noctuidae";0,49079754601227;0,725738396624473;0,713203463203463;0,679752066115702;1;0,887029288702929;0;0;0;0;0;0;3,20765735214276;4,50983812322576;4,6089788150997;4,22440870347529;5,92611572102803;4,25296929389904
"7";"Pentatomidae";0;0,00632911392405063;0,00649350649350649;0;0,00239808153477218;0;0;0;0;0;0;0;0;0,102619112024523;0,0804073074959032;0;0,0489702106874392;0
"8";"Pieridae";1,02453987730061;1,08016877637131;1,28571428571429;1,07438016528926;1,29736211031175;1,2071129707113;0;0;0;0;1;1;1,42841876456158;1,61713445993762;2,19063561843755;1,63129482418577;1,8907206974009;1,90029006717715
"9";"Plutellidae";0,445807770961145;0,415611814345992;0,467532467532468;0,427685950413223;0,553956834532374;0,558577405857741;0;0;0;0;0;0;0,94176097904978;0,904679486740496;0,887382007081719;0,866287154042906;1,11268469860823;1,0736600860463
