Sample_Name;Sample_name;Novogene_ID;Treatment;Time_point;Soil_type;Plant_Number;Harvest;Block;Column;Row
HC.P01.W4;HC_P01_w4;FKDN220481329-1A;HC;Week.4;Pot;1;4;10;30;9
HC.P02.W4;HC_P02_w4;FKDN220481330-1A;HC;Week.4;Pot;2;4;5;15;14
HC.P03.W4;hc_p03_w4;FKDN220481327-1A;HC;Week.4;Pot;3;4;2;5;12
HC.P04.W4;hc_p4_w4;FKDN220481324-1A;HC;Week.4;Pot;4;4;8;23;12
HC.P06.W4;hc_p06_w4;FKDN220481328-1A;HC;Week.4;Pot;6;4;6;18;13
HC.P07.W4;hc_p7_w4;FKDN220481326-1A;HC;Week.4;Pot;7;4;12;35;3
HC.P08.W4;HC_P08_w4;FKDN220481331-1A;HC;Week.4;Pot;8;4;11;33;14
HC.P09.W4;HC_P09_w4;FKDN220481332-1A;HC;Week.4;Pot;9;4;9;27;13
HC.P10.W4;HC_P10_w4;FKDN220481333-1A;HC;Week.4;Pot;10;4;7;20;14
HC.P59.W4;hc_p59_w4;FKDN230053494-1A;HC;Week.4;Pot;59;4;13;39;1
Man.P01.W4;man_p01_w4;FKDN220481344-1A;MAN;Week.4;Pot;1;4;3;9;12
Man.P02.W4;man_p2_w4;FKDN220481351-1A;MAN;Week.4;Pot;2;4;12;36;14
Man.P03.W4;man_p3_w4;FKDN220481352-1A;MAN;Week.4;Pot;3;4;9;27;1
Man.P04.W4;Man_P04_w4;FKDN220481350-1A;MAN;Week.4;Pot;4;4;7;19;3
Man.P05.W4;man_p05_w4;FKDN220481345-1A;MAN;Week.4;Pot;5;4;1;1;6
Man.P06.W4;man_p06_w4;FKDN220481346-1A;MAN;Week.4;Pot;6;4;2;4;13
Man.P07.W4;man_p07_w4;FKDN220481347-1A;MAN;Week.4;Pot;7;4;4;12;10
Man.P09.W4;man_p09_w4;FKDN220481348-1A;MAN;Week.4;Pot;9;4;10;30;13
